suara_presma_sah,alasan_suara_presma_tidak_sah,suara_dpm_sah,alasan_suara_dpm_tidak_sah,waktu,dalam_waktu_pemungutan,nim_hashed,jenis_email,persetujuan,input_fakultas,fakultas_tercatat,terdaftar,fakultas_benar,input_verifikasi_hashed,sumber_verifikasi_hashed,verified,dapil_sesuai,pilihan_presma,pilihan_dpm_fh,pilihan_dpm_feb,pilihan_dpm_fp,pilihan_dpm_ft,pilihan_dpm_fisib,pilihan_dpm_fip,pilihan_dpm_fkis
true,,true,,2020-12-18 08:25:02 +0700 WIB,true,fc657b8cde7b896054580e6267c798b4,student,Setuju,FP,FP,true,true,0c39c72c0a12c304990059b5805a00a9,0c39c72c0a12c304990059b5805a00a9,true,true,Pasangan calon nomor urut 1,,,Calon DPM nomor urut 4,,,,
true,,true,,2020-12-18 12:49:37 +0700 WIB,true,e24e81c4eef500bcb2cea3d41beb5019,student,Setuju,FEB,FEB,true,true,94d5b36b63f275be5ebfb1dd1f82f26a,94d5b36b63f275be5ebfb1dd1f82f26a,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 2,,,,,
true,,true,,2020-12-18 09:43:02 +0700 WIB,true,8aa77808f0a17fa8593d5fb9cba6fb5d,student,Setuju,FIP,FIP,true,true,0aad9361c5e6ad62086c562a418fe6c5,0aad9361c5e6ad62086c562a418fe6c5,true,true,Pasangan calon nomor urut 3,,,,,,Calon DPM nomor urut 2,
true,,true,,2020-12-18 12:04:25 +0700 WIB,true,b2ddd2c84622b042dec6313221c34ef9,student,Setuju,FEB,FEB,true,true,bb3010afbf139cd6232030ebfa0184ca,bb3010afbf139cd6232030ebfa0184ca,true,true,Pasangan calon nomor urut 3,,Calon DPM nomor urut 3,,,,,
true,,true,,2020-12-18 10:14:47 +0700 WIB,true,4e6010b025e07b70d3d82f16a8faac0b,student,Setuju,FT,FT,true,true,7e6892934a10cbdf11c4251737ebbd5c,7e6892934a10cbdf11c4251737ebbd5c,true,true,Pasangan calon nomor urut 2,,,,Calon DPM nomor urut 4,,,
true,,true,,2020-12-18 11:52:23 +0700 WIB,true,a7909394fd31578450d7e3c4139251ed,student,Setuju,FEB,FEB,true,true,854b15c2ec135d3b9689ff0bd0edfd7f,854b15c2ec135d3b9689ff0bd0edfd7f,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 3,,,,,
true,,true,,2020-12-18 12:13:49 +0700 WIB,true,653bcadc0ace678937f2b46dabf01a9a,student,Setuju,FH,FH,true,true,bc9527b001885c426268fc0e6e493e3b,bc9527b001885c426268fc0e6e493e3b,true,true,Pasangan calon nomor urut 2,Calon DPM nomor urut 3,,,,,,
true,,true,,2020-12-18 10:08:58 +0700 WIB,true,759ce20010d2ab17bca9dbf72f60e255,student,Setuju,FT,FT,true,true,3a0e5f59b185f480535c11aa4173e31f,3a0e5f59b185f480535c11aa4173e31f,true,true,Pasangan calon nomor urut 2,,,,Calon DPM nomor urut 1,,,
true,,true,,2020-12-18 09:31:47 +0700 WIB,true,b0ef789ceef2cdc37a0af0496bf62d74,student,Setuju,FKis,FKis,true,true,1165526b84237b7bb39f956aed494df2,1165526b84237b7bb39f956aed494df2,true,true,Pasangan calon nomor urut 1,,,,,,,Calon DPM nomor urut 2
true,,true,,2020-12-18 09:17:27 +0700 WIB,true,1bf89ae45187a7dfc7de1667a6e76f5a,student,Setuju,FISIB,FISIB,true,true,02dad397c475c2ce71fadf34c22f5a8b,02dad397c475c2ce71fadf34c22f5a8b,true,true,Pasangan calon nomor urut 1,,,,,Calon DPM nomor urut 1,,
